Estimated genomic size	GC content	Phylum
2.053833907	56.52	Firmicutes
3.320710895	55.34	Firmicutes
2.982143	27.55	Firmicutes
2.2991374	50.95	Firmicutes
3.608703585	47.81	Firmicutes
2.63074605	48.2	Firmicutes
2.988628799	29.22	Firmicutes
2.539055911	53.33	Firmicutes
3.396681	51.64	Firmicutes
2.445118198	55.93	Firmicutes
3.22449437	51.72	Firmicutes
2.900964544	55.45	Firmicutes
2.156410085	60.82	Firmicutes
2.206871139	56.83	Firmicutes
3.259940438	57.56	Firmicutes
2.637410025	56.71	Firmicutes
2.811350399	51.79	Firmicutes
1.970751032	48.81	Firmicutes
2.866011892	55.12	Firmicutes
1.574265045	44.27	Firmicutes
2.588496841	55.89	Firmicutes
2.699599332	57.38	Firmicutes
2.968468292	54.02	Firmicutes
2.925318961	51.48	Firmicutes
2.051665412	57.37	Firmicutes
3.285146074	48.56	Firmicutes
2.542970728	55.8	Firmicutes
2.455847953	47.14	Firmicutes
2.102215289	37.23	Firmicutes
2.937044852	48.96	Firmicutes
2.728287074	32.2	Firmicutes
2.339898791	31.53	Firmicutes
3.383076838	50.15	Firmicutes
3.282590679	50	Firmicutes
2.241165593	32.37	Firmicutes
2.567061928	29.75	Firmicutes
1.994979702	27.8	Firmicutes
2.387402748	38.44	Firmicutes
2.465895299	37.4	Firmicutes
2.411585619	28.76	Firmicutes
2.657346168	34.35	Firmicutes
2.808656388	30.14	Firmicutes
2.493891833	29.82	Firmicutes
2.435893761	29.64	Firmicutes
2.406804187	50.89	Firmicutes
2.313852093	40.08	Firmicutes
1.754918185	35.28	Firmicutes
2.386675687	38.75	Firmicutes
1.83163941	35.37	Firmicutes
2.783230473	49.39	Firmicutes
1.969315114	39.44	Firmicutes
1.682616254	32.43	Firmicutes
1.991954217	32.22	Firmicutes
1.891362461	32.25	Firmicutes
2.540142422	50.12	Firmicutes
2.37394636	31.72	Firmicutes
2.807025746	50.27	Firmicutes
2.133683	30.42	Firmicutes
1.979680176	38.9	Firmicutes
1.871979038	37.42	Firmicutes
2.237406682	48.75	Firmicutes
2.175904055	47.04	Firmicutes
3.092498681	37.94	Firmicutes
3.105431971	39.84	Firmicutes
3.073765216	38.27	Firmicutes
2.013973894	42.39	Firmicutes
3.379380531	34.74	Firmicutes
2.494467183	46.68	Firmicutes
4.210206994	37.09	Firmicutes
2.623113377	42.29	Firmicutes
2.655575684	38.96	Firmicutes
2.939295696	34.6	Firmicutes
2.271888711	59.55	Firmicutes
2.847494917	41.39	Firmicutes
2.873414258	41.54	Firmicutes
2.906501408	44.78	Firmicutes
2.635601588	43.14	Firmicutes
2.907410072	43.87	Firmicutes
2.721162958	45.24	Firmicutes
2.708805247	42.63	Firmicutes
2.432185969	45.53	Firmicutes
2.312909703	44.02	Firmicutes
2.450682376	41.94	Firmicutes
2.482871386	43.52	Firmicutes
2.262542373	41.76	Firmicutes
2.454864662	43.28	Firmicutes
2.158859835	59.2	Firmicutes
2.64254956	43.9	Firmicutes
2.186778945	44.05	Firmicutes
2.358226463	44.33	Firmicutes
2.422725055	44.24	Firmicutes
3.05533996	50.56	Firmicutes
3.393273147	48.02	Firmicutes
3.117486147	45.81	Firmicutes
2.672822826	36.13	Firmicutes
4.269561578	41.28	Firmicutes
3.756084543	40.46	Firmicutes
2.153698782	37.65	Firmicutes
2.862970327	40.76	Firmicutes
2.620666667	45.25	Firmicutes
4.215025003	31.57	Firmicutes
3.513142298	47.79	Firmicutes
3.045149929	46.63	Firmicutes
2.803739309	39.66	Firmicutes
1.997065741	42.33	Firmicutes
2.391680682	37.62	Firmicutes
4.463556282	36.78	Firmicutes
2.762919985	33.21	Firmicutes
2.52785707	36.61	Firmicutes
2.675206119	39.66	Firmicutes
2.925916031	42.94	Firmicutes
3.439661497	46.77	Firmicutes
3.174047284	39.54	Firmicutes
2.880898009	39.53	Firmicutes
3.05952857	42.84	Firmicutes
2.646392212	35.96	Firmicutes
3.689839952	40.86	Firmicutes
3.355561954	46.12	Firmicutes
3.006669576	41.08	Firmicutes
2.76516042	40.25	Firmicutes
3.861431323	41.58	Firmicutes
2.96292947	36.3	Firmicutes
3.310489694	43.58	Firmicutes
2.797322816	43.95	Firmicutes
2.661050571	35.86	Firmicutes
3.584835846	42.35	Firmicutes
2.794484905	37.52	Firmicutes
2.968551974	44.68	Firmicutes
3.985207605	42.93	Firmicutes
2.403530226	35.62	Firmicutes
2.618259275	37.43	Firmicutes
2.569275884	34.94	Firmicutes
3.413805256	38.29	Firmicutes
3.035348807	37.47	Firmicutes
3.284761905	45.65	Firmicutes
2.823236654	40.11	Firmicutes
2.423112426	38.95	Firmicutes
2.422378523	39.94	Firmicutes
2.680728561	43.19	Firmicutes
2.75444052	35.32	Firmicutes
2.97011884	48.84	Firmicutes
3.163319243	36.97	Firmicutes
2.443015431	38.69	Firmicutes
3.678106554	50.1	Firmicutes
3.0875848	37.4	Firmicutes
2.15413971	48.68	Firmicutes
3.431202303	46.47	Firmicutes
3.32582546	43.39	Firmicutes
3.853532906	46.77	Firmicutes
2.971894694	37.08	Firmicutes
3.095038318	44.18	Firmicutes
2.513355467	44.2	Firmicutes
3.21221155	36.79	Firmicutes
3.387285219	40.94	Firmicutes
2.389933501	43.13	Firmicutes
2.767480941	36.59	Firmicutes
2.470768896	35.56	Firmicutes
2.829214147	34.07	Firmicutes
3.7043603	30.92	Firmicutes
2.937532454	51.62	Firmicutes
2.300973233	39.47	Firmicutes
3.568471391	36.9	Firmicutes
2.360769397	46.85	Firmicutes
2.898734677	43.2	Firmicutes
3.482373511	39.21	Firmicutes
3.496413245	46.14	Firmicutes
3.196740891	43.24	Firmicutes
1.919161305	51.02	Firmicutes
2.293625039	33.84	Firmicutes
2.318248827	48.79	Firmicutes
2.990057947	36.3	Firmicutes
3.053404762	37.74	Firmicutes
2.374477303	57.98	Firmicutes
2.71701083	44.38	Firmicutes
2.701657102	42.55	Firmicutes
2.519993975	38.23	Firmicutes
2.670996395	45.94	Firmicutes
2.467082591	39.98	Firmicutes
3.668630137	31.77	Firmicutes
2.428294791	35.84	Firmicutes
3.560213904	38.79	Firmicutes
2.586690655	38.31	Firmicutes
2.799397654	35.91	Firmicutes
3.528733891	47.29	Firmicutes
2.505261402	46.97	Firmicutes
1.862154451	38.96	Firmicutes
3.13779958	31.18	Firmicutes
2.592358491	46.3	Firmicutes
3.04283781	41.94	Firmicutes
2.938435735	37.37	Firmicutes
2.336910896	48.76	Firmicutes
2.002931119	39.98	Firmicutes
2.749954151	39.65	Firmicutes
2.591617004	38.47	Firmicutes
3.324651472	40.95	Firmicutes
2.648275862	42.3	Firmicutes
3.254421703	37.65	Firmicutes
2.197304105	35.52	Firmicutes
3.406470057	39.8	Firmicutes
3.593062767	43.02	Firmicutes
3.212845425	42.66	Firmicutes
3.065766504	41.29	Firmicutes
3.365848363	44.92	Firmicutes
2.927674307	38.83	Firmicutes
3.397263859	38.26	Firmicutes
2.716446606	38.05	Firmicutes
3.191681074	40.38	Firmicutes
3.19419027	35.24	Firmicutes
3.064744813	37.11	Firmicutes
2.636252109	37.2	Firmicutes
2.424837352	37.42	Firmicutes
2.49592749	35.18	Firmicutes
2.440729487	39.03	Firmicutes
3.394315098	41.6	Firmicutes
3.460008286	47.56	Firmicutes
2.419395409	32.92	Firmicutes
2.305207001	43.99	Firmicutes
2.878290689	46.72	Firmicutes
2.719666456	39.48	Firmicutes
2.883281087	45.56	Firmicutes
2.583707954	43.31	Firmicutes
2.851304299	41.42	Firmicutes
2.841837194	46.62	Firmicutes
2.267749781	37.53	Firmicutes
2.278689395	37.32	Firmicutes
3.170055096	38.55	Firmicutes
2.499796547	35.74	Firmicutes
2.986409041	44.3	Firmicutes
2.684985946	41.82	Firmicutes
3.670994798	51.45	Firmicutes
3.460534969	29.93	Firmicutes
3.211496815	33.21	Firmicutes
3.635732899	41.23	Firmicutes
2.709111775	44.82	Firmicutes
3.589105877	38.58	Firmicutes
2.636952361	36.76	Firmicutes
3.188791079	40.14	Firmicutes
3.103032231	39.2	Firmicutes
2.888028728	42.68	Firmicutes
3.550402531	37.97	Firmicutes
3.384330913	35.29	Firmicutes
2.610843996	38.87	Firmicutes
4.694857	37	Firmicutes
2.862783548	41.73	Firmicutes
3.313998163	45.65	Firmicutes
3.768990087	40.21	Firmicutes
2.297506628	39.86	Firmicutes
2.505229434	39.77	Firmicutes
